entity1,entity2,relationship_type,question1,question2,question3,biomistral-7b_q1,biomistral-7b_q2,biomistral-7b_q3,gemma-3-4b_q1,gemma-3-4b_q2,gemma-3-4b_q3,gemma-4-e4b_q1,gemma-4-e4b_q2,gemma-4-e4b_q3,ii-medical-8b_q1,ii-medical-8b_q2,ii-medical-8b_q3,llama-3.1-8b_q1,llama-3.1-8b_q2,llama-3.1-8b_q3,medgemma-4b_q1,medgemma-4b_q2,medgemma-4b_q3,meditron-7b_q1,meditron-7b_q2,meditron-7b_q3,meerkat-7b_q1,meerkat-7b_q2,meerkat-7b_q3,mistral-7b_q1,mistral-7b_q2,mistral-7b_q3,qwen3-8b_q1,qwen3-8b_q2,qwen3-8b_q3,ultramed-3.1-8b_q1,ultramed-3.1-8b_q2,ultramed-3.1-8b_q3
hypoglycemia,heart palpitations,disease-symptom,Is hypoglycemia a disease?,Is heart palpitations a symptom?,Is heart palpitations a symptom of hypoglycemia?,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,,yes,no,yes,yes,no,no,yes,yes,no,yes,yes
asthma,albuterol,drug-disease,Is asthma a drug?,Is albuterol a disease?,Is asthma used to treat albuterol?,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes
anxiety,palpitations,disease-symptom,Is anxiety a disease?,Is palpitations a symptom?,Is palpitations a symptom of anxiety?,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
dizzy,head injury,symptom-disease,Is dizzy a symptom?,Is head injury a disease?,Is dizzy a symptom of head injury?,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,,yes,yes,no,yes,yes,no,yes,yes,no,yes
Fibroids,thin endometrium,disease-symptom,Is Fibroids a disease?,Is thin endometrium a symptom?,Is thin endometrium a symptom of Fibroids?,yes,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,yes,no,yes,no,yes,no,,,no,yes,yes,no,no,no,no,yes,yes,yes
neomycin ear drops,ear infections,drug-disease,Is neomycin ear drops a drug?,Is ear infections a disease?,Is neomycin ear drops used to treat ear infections?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,yes,yes,yes,yes,yes,yes,yes,no,no
hyperthyroidism,sweating,disease-symptom,Is hyperthyroidism a disease?,Is sweating a symptom?,Is sweating a symptom of hyperthyroidism?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Spironolactone,liver cirrhosis,drug-disease,Is Spironolactone a drug?,Is liver cirrhosis a disease?,Is Spironolactone used to treat liver cirrhosis?,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes
Bisoprolol,heart problems,drug-disease,Is Bisoprolol a drug?,Is heart problems a disease?,Is Bisoprolol used to treat heart problems?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Aspirin,heart problems,drug-disease,Is Aspirin a drug?,Is heart problems a disease?,Is Aspirin used to treat heart problems?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
testicular cancer,lump,disease-symptom,Is testicular cancer a disease?,Is lump a symptom?,Is lump a symptom of testicular cancer?,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
testicular cancer,pain,disease-symptom,Is testicular cancer a disease?,Is pain a symptom?,Is pain a symptom of testicular cancer?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
pain,testicular cancer,symptom-disease,Is pain a symptom?,Is testicular cancer a disease?,Is pain a symptom of testicular cancer?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
head injury,dizzy,disease-symptom,Is head injury a disease?,Is dizzy a symptom?,Is dizzy a symptom of head injury?,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
head injury,head pain,disease-symptom,Is head injury a disease?,Is head pain a symptom?,Is head pain a symptom of head injury?,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
dizzy,head injury,symptom-disease,Is dizzy a symptom?,Is head injury a disease?,Is dizzy a symptom of head injury?,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,,yes,yes,no,yes,yes,no,yes,yes,no,yes
Amlodipine,High blood pressure,drug-disease,Is Amlodipine a drug?,Is High blood pressure a disease?,Is Amlodipine used to treat High blood pressure?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Paroxetine,Anxiety,drug-disease,Is Paroxetine a drug?,Is Anxiety a disease?,Is Paroxetine used to treat Anxiety?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes
Mucormycosis,sinus pain,disease-symptom,Is Mucormycosis a disease?,Is sinus pain a symptom?,Is sinus pain a symptom of Mucormycosis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
amphotericin B,Mucormycosis,drug-disease,Is amphotericin B a drug?,Is Mucormycosis a disease?,Is amphotericin B used to treat Mucormycosis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
metformin,PCOS,drug-disease,Is metformin a drug?,Is PCOS a disease?,Is metformin used to treat PCOS?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
propranolol,migraines,drug-disease,Is propranolol a drug?,Is migraines a disease?,Is propranolol used to treat migraines?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes
pramipexole,restless legs,drug-disease,Is pramipexole a drug?,Is restless legs a disease?,Is pramipexole used to treat restless legs?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Vyvanse,ADHD,drug-disease,Is Vyvanse a drug?,Is ADHD a disease?,Is Vyvanse used to treat ADHD?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
citalopram,anxiety,drug-disease,Is citalopram a drug?,Is anxiety a disease?,Is citalopram used to treat anxiety?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes
anxiety,headache,disease-symptom,Is anxiety a disease?,Is headache a symptom?,Is headache a symptom of anxiety?,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
throat infection,sore throat,disease-symptom,Is throat infection a disease?,Is sore throat a symptom?,Is sore throat a symptom of throat infection?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
eczema,rash,disease-symptom,Is eczema a disease?,Is rash a symptom?,Is rash a symptom of eczema?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
seizure,body shaking,disease-symptom,Is seizure a disease?,Is body shaking a symptom?,Is body shaking a symptom of seizure?,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
seizure,loss of consciousness,disease-symptom,Is seizure a disease?,Is loss of consciousness a symptom?,Is loss of consciousness a symptom of seizure?,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes
heart stopping,coma,disease-symptom,Is heart stopping a disease?,Is coma a symptom?,Is coma a symptom of heart stopping?,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,,yes,no,no,yes,no,no,no,no,yes,yes,yes
impacted wisdom tooth,tooth pain,disease-symptom,Is impacted wisdom tooth a disease?,Is tooth pain a symptom?,Is tooth pain a symptom of impacted wisdom tooth?,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
ibuprofen,tooth pain,drug-disease,Is ibuprofen a drug?,Is tooth pain a disease?,Is ibuprofen used to treat tooth pain?,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,,no,yes,yes,yes,yes,no,yes,yes,no,yes
albuterol,asthma,drug-disease,Is albuterol a drug?,Is asthma a disease?,Is albuterol used to treat asthma?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
cymbalta,chronic pain,drug-disease,Is cymbalta a drug?,Is chronic pain a disease?,Is cymbalta used to treat chronic pain?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes
albendazole,parasite,drug-disease,Is albendazole a drug?,Is parasite a disease?,Is albendazole used to treat parasite?,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes
parasite,headache,disease-symptom,Is parasite a disease?,Is headache a symptom?,Is headache a symptom of parasite?,no,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes
parasite,nauseous,disease-symptom,Is parasite a disease?,Is nauseous a symptom?,Is nauseous a symptom of parasite?,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
headache,parasite,symptom-disease,Is headache a symptom?,Is parasite a disease?,Is headache a symptom of parasite?,yes,no,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,yes
nauseous,parasite,symptom-disease,Is nauseous a symptom?,Is parasite a disease?,Is nauseous a symptom of parasite?,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes
spider bite,redness,disease-symptom,Is spider bite a disease?,Is redness a symptom?,Is redness a symptom of spider bite?,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
spider bite,itchy,disease-symptom,Is spider bite a disease?,Is itchy a symptom?,Is itchy a symptom of spider bite?,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes
constipation,tummy pain,disease-symptom,Is constipation a disease?,Is tummy pain a symptom?,Is tummy pain a symptom of constipation?,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
chemical pneumonitis,coughing,disease-symptom,Is chemical pneumonitis a disease?,Is coughing a symptom?,Is coughing a symptom of chemical pneumonitis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
chemical pneumonitis,upper chest pain,disease-symptom,Is chemical pneumonitis a disease?,Is upper chest pain a symptom?,Is upper chest pain a symptom of chemical pneumonitis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
acid reflux,post nasal drip,disease-symptom,Is acid reflux a disease?,Is post nasal drip a symptom?,Is post nasal drip a symptom of acid reflux?,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes
laceration,pain,disease-symptom,Is laceration a disease?,Is pain a symptom?,Is pain a symptom of laceration?,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
brain tumour,worst headache,disease-symptom,Is brain tumour a disease?,Is worst headache a symptom?,Is worst headache a symptom of brain tumour?,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
brain tumour,throwing up,disease-symptom,Is brain tumour a disease?,Is throwing up a symptom?,Is throwing up a symptom of brain tumour?,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no
brain tumour,pain/pressure sensation,disease-symptom,Is brain tumour a disease?,Is pain/pressure sensation a symptom?,Is pain/pressure sensation a symptom of brain tumour?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
clinical depression,depressed,disease-symptom,Is clinical depression a disease?,Is depressed a symptom?,Is depressed a symptom of clinical depression?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
clinical depression,apathetic,disease-symptom,Is clinical depression a disease?,Is apathetic a symptom?,Is apathetic a symptom of clinical depression?,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
anxiety,brain fog,disease-symptom,Is anxiety a disease?,Is brain fog a symptom?,Is brain fog a symptom of anxiety?,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
anxiety,lightheaded,disease-symptom,Is anxiety a disease?,Is lightheaded a symptom?,Is lightheaded a symptom of anxiety?,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
silent heart attack,lightheaded,disease-symptom,Is silent heart attack a disease?,Is lightheaded a symptom?,Is lightheaded a symptom of silent heart attack?,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
tachycardia,heart rate above 100,disease-symptom,Is tachycardia a disease?,Is heart rate above 100 a symptom?,Is heart rate above 100 a symptom of tachycardia?,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,yes
cold,mucus,disease-symptom,Is cold a disease?,Is mucus a symptom?,Is mucus a symptom of cold?,no,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,,yes,yes,no,yes,yes,no,no,yes,no,yes,yes
cold,scratchy throat,disease-symptom,Is cold a disease?,Is scratchy throat a symptom?,Is scratchy throat a symptom of cold?,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
obstruction,dilated ureter,disease-symptom,Is obstruction a disease?,Is dilated ureter a symptom?,Is dilated ureter a symptom of obstruction?,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes
dislocation,pain,disease-symptom,Is dislocation a disease?,Is pain a symptom?,Is pain a symptom of dislocation?,no,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
pneumonia,fever,disease-symptom,Is pneumonia a disease?,Is fever a symptom?,Is fever a symptom of pneumonia?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
pneumonia,coughing,disease-symptom,Is pneumonia a disease?,Is coughing a symptom?,Is coughing a symptom of pneumonia?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Pantoprazole,esophagitis,drug-disease,Is Pantoprazole a drug?,Is esophagitis a disease?,Is Pantoprazole used to treat esophagitis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Pantoprazole,mild reactive gastropathy,drug-disease,Is Pantoprazole a drug?,Is mild reactive gastropathy a disease?,Is Pantoprazole used to treat mild reactive gastropathy?,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes
esophagitis,heartburn,disease-symptom,Is esophagitis a disease?,Is heartburn a symptom?,Is heartburn a symptom of esophagitis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
mild reactive gastropathy,stomach aches,disease-symptom,Is mild reactive gastropathy a disease?,Is stomach aches a symptom?,Is stomach aches a symptom of mild reactive gastropathy?,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
heartburn,esophagitis,symptom-disease,Is heartburn a symptom?,Is esophagitis a disease?,Is heartburn a symptom of esophagitis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
stomach aches,mild reactive gastropathy,symptom-disease,Is stomach aches a symptom?,Is mild reactive gastropathy a disease?,Is stomach aches a symptom of mild reactive gastropathy?,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes
necrosis,pain,disease-symptom,Is necrosis a disease?,Is pain a symptom?,Is pain a symptom of necrosis?,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
atenolol,anxiety,drug-disease,Is atenolol a drug?,Is anxiety a disease?,Is atenolol used to treat anxiety?,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no
anxiety,heart rate,disease-symptom,Is anxiety a disease?,Is heart rate a symptom?,Is heart rate a symptom of anxiety?,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes
heart rate,anxiety,symptom-disease,Is heart rate a symptom?,Is anxiety a disease?,Is heart rate a symptom of anxiety?,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes
pneumonia,inflammation,disease-symptom,Is pneumonia a disease?,Is inflammation a symptom?,Is inflammation a symptom of pneumonia?,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,yes,yes,yes,yes,yes,no,no,yes,yes,yes
medication,high blood pressure,drug-disease,Is medication a drug?,Is high blood pressure a disease?,Is medication used to treat high blood pressure?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
worms,itchy anus,disease-symptom,Is worms a disease?,Is itchy anus a symptom?,Is itchy anus a symptom of worms?,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
diarrhea,undigested food,disease-symptom,Is diarrhea a disease?,Is undigested food a symptom?,Is undigested food a symptom of diarrhea?,yes,no,no,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,yes
tendonapathy,pain,disease-symptom,Is tendonapathy a disease?,Is pain a symptom?,Is pain a symptom of tendonapathy?,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
salicylic acid,foot wart,drug-disease,Is salicylic acid a drug?,Is foot wart a disease?,Is salicylic acid used to treat foot wart?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,,yes,yes,yes,yes,yes,yes,yes,no,yes
HPV foot wart,pain,disease-symptom,Is HPV foot wart a disease?,Is pain a symptom?,Is pain a symptom of HPV foot wart?,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no
Sudden hearing loss,vertigo,disease-symptom,Is Sudden hearing loss a disease?,Is vertigo a symptom?,Is vertigo a symptom of Sudden hearing loss?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes
Sudden hearing loss,ache,disease-symptom,Is Sudden hearing loss a disease?,Is ache a symptom?,Is ache a symptom of Sudden hearing loss?,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes
vertigo,Sudden hearing loss,symptom-disease,Is vertigo a symptom?,Is Sudden hearing loss a disease?,Is vertigo a symptom of Sudden hearing loss?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes
antibiotics,UTI,drug-disease,Is antibiotics a drug?,Is UTI a disease?,Is antibiotics used to treat UTI?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes
hyperthyroidism,vocal problems,disease-symptom,Is hyperthyroidism a disease?,Is vocal problems a symptom?,Is vocal problems a symptom of hyperthyroidism?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Flagyl,appendicitis,drug-disease,Is Flagyl a drug?,Is appendicitis a disease?,Is Flagyl used to treat appendicitis?,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no
co-ciprofloxacin,appendicitis,drug-disease,Is co-ciprofloxacin a drug?,Is appendicitis a disease?,Is co-ciprofloxacin used to treat appendicitis?,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no
appendicitis,abdominal discomfort,disease-symptom,Is appendicitis a disease?,Is abdominal discomfort a symptom?,Is abdominal discomfort a symptom of appendicitis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
appendicitis,fever,disease-symptom,Is appendicitis a disease?,Is fever a symptom?,Is fever a symptom of appendicitis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
