entity1,entity2,relationship_type,question1,question2,question3
multiple myeloma,pain,disease-symptom,Is multiple myeloma a disease?,Is pain a symptom?,Is pain a symptom of multiple myeloma?
acid reflux,burning throat,disease-symptom,Is acid reflux a disease?,Is burning throat a symptom?,Is burning throat a symptom of acid reflux?
high blood pressure,heart racing,disease-symptom,Is high blood pressure a disease?,Is heart racing a symptom?,Is heart racing a symptom of high blood pressure?
vocal cord damage,voice gets hoarse,disease-symptom,Is vocal cord damage a disease?,Is voice gets hoarse a symptom?,Is voice gets hoarse a symptom of vocal cord damage?
alcoholic,seizure,disease-symptom,Is alcoholic a disease?,Is seizure a symptom?,Is seizure a symptom of alcoholic?
neurological condition,nerve pain,disease-symptom,Is neurological condition a disease?,Is nerve pain a symptom?,Is nerve pain a symptom of neurological condition?
nerve pain,neurological condition,symptom-disease,Is nerve pain a symptom?,Is neurological condition a disease?,Is nerve pain a symptom of neurological condition?
neurological condition,migraines,disease-symptom,Is neurological condition a disease?,Is migraines a symptom?,Is migraines a symptom of neurological condition?
migraines,neurological condition,symptom-disease,Is migraines a symptom?,Is neurological condition a disease?,Is migraines a symptom of neurological condition?
UTI,kidney pain,disease-symptom,Is UTI a disease?,Is kidney pain a symptom?,Is kidney pain a symptom of UTI?
kidney infection,kidney pain,disease-symptom,Is kidney infection a disease?,Is kidney pain a symptom?,Is kidney pain a symptom of kidney infection?
kidney cancer,kidney pain,disease-symptom,Is kidney cancer a disease?,Is kidney pain a symptom?,Is kidney pain a symptom of kidney cancer?
Burning,UTI,symptom-disease,Is Burning a symptom?,Is UTI a disease?,Is Burning a symptom of UTI?
nausea,kidney infection,symptom-disease,Is nausea a symptom?,Is kidney infection a disease?,Is nausea a symptom of kidney infection?
ciprofloxacin,UTI,drug-disease,Is ciprofloxacin a drug?,Is UTI a disease?,Is ciprofloxacin used to treat UTI?
prostatitis,urine,disease-symptom,Is prostatitis a disease?,Is urine a symptom?,Is urine a symptom of prostatitis?
melanoma,mole,disease-symptom,Is melanoma a disease?,Is mole a symptom?,Is mole a symptom of melanoma?
pneumonia,crackling,disease-symptom,Is pneumonia a disease?,Is crackling a symptom?,Is crackling a symptom of pneumonia?
viral pneumonia,cough,disease-symptom,Is viral pneumonia a disease?,Is cough a symptom?,Is cough a symptom of viral pneumonia?
fever,pneumonia,symptom-disease,Is fever a symptom?,Is pneumonia a disease?,Is fever a symptom of pneumonia?
cough,pneumonia,symptom-disease,Is cough a symptom?,Is pneumonia a disease?,Is cough a symptom of pneumonia?
Cellulitis,pain,disease-symptom,Is Cellulitis a disease?,Is pain a symptom?,Is pain a symptom of Cellulitis?
Cellulitis,fever,disease-symptom,Is Cellulitis a disease?,Is fever a symptom?,Is fever a symptom of Cellulitis?
sore,vulvitis,symptom-disease,Is sore a symptom?,Is vulvitis a disease?,Is sore a symptom of vulvitis?
swollen vulva,vulvitis,symptom-disease,Is swollen vulva a symptom?,Is vulvitis a disease?,Is swollen vulva a symptom of vulvitis?
pain,vulvitis,symptom-disease,Is pain a symptom?,Is vulvitis a disease?,Is pain a symptom of vulvitis?
dermatitis,rash,disease-symptom,Is dermatitis a disease?,Is rash a symptom?,Is rash a symptom of dermatitis?
escitalopram,GAD,drug-disease,Is escitalopram a drug?,Is GAD a disease?,Is escitalopram used to treat GAD?
anterolisthesis,back pain,disease-symptom,Is anterolisthesis a disease?,Is back pain a symptom?,Is back pain a symptom of anterolisthesis?
osteoarthritis,pain,disease-symptom,Is osteoarthritis a disease?,Is pain a symptom?,Is pain a symptom of osteoarthritis?
nerve damage,constant nerve pain,disease-symptom,Is nerve damage a disease?,Is constant nerve pain a symptom?,Is constant nerve pain a symptom of nerve damage?
fractures,pain,disease-symptom,Is fractures a disease?,Is pain a symptom?,Is pain a symptom of fractures?
torn ligaments,pain,disease-symptom,Is torn ligaments a disease?,Is pain a symptom?,Is pain a symptom of torn ligaments?
Progesterone only pill,continuous bleeding,drug-disease,Is Progesterone only pill a drug?,Is continuous bleeding a disease?,Is Progesterone only pill used to treat continuous bleeding?
cramps,Progesterone only pill,drug-disease,Is cramps a drug?,Is Progesterone only pill a disease?,Is cramps used to treat Progesterone only pill?
HIV,symptoms,disease-symptom,Is HIV a disease?,Is symptoms a symptom?,Is symptoms a symptom of HIV?
iron deficiency anemia,low MCV,disease-symptom,Is iron deficiency anemia a disease?,Is low MCV a symptom?,Is low MCV a symptom of iron deficiency anemia?
iron deficiency anemia,low MCH,disease-symptom,Is iron deficiency anemia a disease?,Is low MCH a symptom?,Is low MCH a symptom of iron deficiency anemia?
iron deficiency anemia,low MCHC,disease-symptom,Is iron deficiency anemia a disease?,Is low MCHC a symptom?,Is low MCHC a symptom of iron deficiency anemia?
iron deficiency anemia,high RDW,disease-symptom,Is iron deficiency anemia a disease?,Is high RDW a symptom?,Is high RDW a symptom of iron deficiency anemia?
Fenofibrate,triglycerides,drug-disease,Is Fenofibrate a drug?,Is triglycerides a disease?,Is Fenofibrate used to treat triglycerides?
Rosuvastatin,triglycerides,drug-disease,Is Rosuvastatin a drug?,Is triglycerides a disease?,Is Rosuvastatin used to treat triglycerides?
Omega 3,triglycerides,drug-disease,Is Omega 3 a drug?,Is triglycerides a disease?,Is Omega 3 used to treat triglycerides?
Triamcinolone,rash,drug-disease,Is Triamcinolone a drug?,Is rash a disease?,Is Triamcinolone used to treat rash?
COVID,Rash,disease-symptom,Is COVID a disease?,Is Rash a symptom?,Is Rash a symptom of COVID?
Rash,COVID,symptom-disease,Is Rash a symptom?,Is COVID a disease?,Is Rash a symptom of COVID?
levothyroxine,hypothyroidism,drug-disease,Is levothyroxine a drug?,Is hypothyroidism a disease?,Is levothyroxine used to treat hypothyroidism?
anemia,extreme fatigue,disease-symptom,Is anemia a disease?,Is extreme fatigue a symptom?,Is extreme fatigue a symptom of anemia?
tachycardia,anemia,symptom-disease,Is tachycardia a symptom?,Is anemia a disease?,Is tachycardia a symptom of anemia?
shortness of breath,anemia,symptom-disease,Is shortness of breath a symptom?,Is anemia a disease?,Is shortness of breath a symptom of anemia?
Spiriva Respimat,Asthma,drug-disease,Is Spiriva Respimat a drug?,Is Asthma a disease?,Is Spiriva Respimat used to treat Asthma?
Symbicort,Asthma,drug-disease,Is Symbicort a drug?,Is Asthma a disease?,Is Symbicort used to treat Asthma?
Asthma,cough,disease-symptom,Is Asthma a disease?,Is cough a symptom?,Is cough a symptom of Asthma?
Asthma,wheeze,disease-symptom,Is Asthma a disease?,Is wheeze a symptom?,Is wheeze a symptom of Asthma?
Asthma,chest tightness,disease-symptom,Is Asthma a disease?,Is chest tightness a symptom?,Is chest tightness a symptom of Asthma?
whiplash,neck pain,disease-symptom,Is whiplash a disease?,Is neck pain a symptom?,Is neck pain a symptom of whiplash?
Nexplanon,anxiety,drug-disease,Is Nexplanon a drug?,Is anxiety a disease?,Is Nexplanon used to treat anxiety?
ovarian cyst,pelvic pain,disease-symptom,Is ovarian cyst a disease?,Is pelvic pain a symptom?,Is pelvic pain a symptom of ovarian cyst?
ovarian cyst,abdominal pain,disease-symptom,Is ovarian cyst a disease?,Is abdominal pain a symptom?,Is abdominal pain a symptom of ovarian cyst?
PCOS,irregular periods,disease-symptom,Is PCOS a disease?,Is irregular periods a symptom?,Is irregular periods a symptom of PCOS?
Pelvic Inflammatory Disease,pelvic pain,disease-symptom,Is Pelvic Inflammatory Disease a disease?,Is pelvic pain a symptom?,Is pelvic pain a symptom of Pelvic Inflammatory Disease?
balanitis,itching,disease-symptom,Is balanitis a disease?,Is itching a symptom?,Is itching a symptom of balanitis?
balanitis,inflaming,disease-symptom,Is balanitis a disease?,Is inflaming a symptom?,Is inflaming a symptom of balanitis?
UTI,painful urination,disease-symptom,Is UTI a disease?,Is painful urination a symptom?,Is painful urination a symptom of UTI?
UTI,blood in urine,disease-symptom,Is UTI a disease?,Is blood in urine a symptom?,Is blood in urine a symptom of UTI?
UTI,frequency,disease-symptom,Is UTI a disease?,Is frequency a symptom?,Is frequency a symptom of UTI?
painful urination,UTI,symptom-disease,Is painful urination a symptom?,Is UTI a disease?,Is painful urination a symptom of UTI?
blood in urine,UTI,symptom-disease,Is blood in urine a symptom?,Is UTI a disease?,Is blood in urine a symptom of UTI?
frequency,UTI,symptom-disease,Is frequency a symptom?,Is UTI a disease?,Is frequency a symptom of UTI?
Duodenitis,Bloating/Discomfort,disease-symptom,Is Duodenitis a disease?,Is Bloating/Discomfort a symptom?,Is Bloating/Discomfort a symptom of Duodenitis?
infection,painful,disease-symptom,Is infection a disease?,Is painful a symptom?,Is painful a symptom of infection?
flu,muscle aches,disease-symptom,Is flu a disease?,Is muscle aches a symptom?,Is muscle aches a symptom of flu?
flu,chills,disease-symptom,Is flu a disease?,Is chills a symptom?,Is chills a symptom of flu?
COVID,shortness of breath,disease-symptom,Is COVID a disease?,Is shortness of breath a symptom?,Is shortness of breath a symptom of COVID?
flu shot,side effects,drug-disease,Is flu shot a drug?,Is side effects a disease?,Is flu shot used to treat side effects?
SOB,asthma,symptom-disease,Is SOB a symptom?,Is asthma a disease?,Is SOB a symptom of asthma?
SOB,GERD,symptom-disease,Is SOB a symptom?,Is GERD a disease?,Is SOB a symptom of GERD?
bilateral pneumothorax,shortness of breath,disease-symptom,Is bilateral pneumothorax a disease?,Is shortness of breath a symptom?,Is shortness of breath a symptom of bilateral pneumothorax?
bilateral pneumothorax,chest pain,disease-symptom,Is bilateral pneumothorax a disease?,Is chest pain a symptom?,Is chest pain a symptom of bilateral pneumothorax?
throat cancer,lump,disease-symptom,Is throat cancer a disease?,Is lump a symptom?,Is lump a symptom of throat cancer?
oral cancer,white patch,disease-symptom,Is oral cancer a disease?,Is white patch a symptom?,Is white patch a symptom of oral cancer?
nail fungus,thickened nail,disease-symptom,Is nail fungus a disease?,Is thickened nail a symptom?,Is thickened nail a symptom of nail fungus?
Hypothyroidism,tired,disease-symptom,Is Hypothyroidism a disease?,Is tired a symptom?,Is tired a symptom of Hypothyroidism?
Hypothyroidism,gaining weight,disease-symptom,Is Hypothyroidism a disease?,Is gaining weight a symptom?,Is gaining weight a symptom of Hypothyroidism?
Hypothyroidism,dry skin,disease-symptom,Is Hypothyroidism a disease?,Is dry skin a symptom?,Is dry skin a symptom of Hypothyroidism?
Hypothyroidism,constipation,disease-symptom,Is Hypothyroidism a disease?,Is constipation a symptom?,Is constipation a symptom of Hypothyroidism?
Hypothyroidism,hair changes,disease-symptom,Is Hypothyroidism a disease?,Is hair changes a symptom?,Is hair changes a symptom of Hypothyroidism?
Lupus (SLE),fatigue,disease-symptom,Is Lupus (SLE) a disease?,Is fatigue a symptom?,Is fatigue a symptom of Lupus (SLE)?
chronic fatigue syndrome,fatigue,disease-symptom,Is chronic fatigue syndrome a disease?,Is fatigue a symptom?,Is fatigue a symptom of chronic fatigue syndrome?
Mydayis,ADHD,drug-disease,Is Mydayis a drug?,Is ADHD a disease?,Is Mydayis used to treat ADHD?
Wellbutrin,depression,drug-disease,Is Wellbutrin a drug?,Is depression a disease?,Is Wellbutrin used to treat depression?
Adderall,ADHD,drug-disease,Is Adderall a drug?,Is ADHD a disease?,Is Adderall used to treat ADHD?
Eustachian Tube Dysfunction,symptoms,disease-symptom,Is Eustachian Tube Dysfunction a disease?,Is symptoms a symptom?,Is symptoms a symptom of Eustachian Tube Dysfunction?
fluconazole,thrush,drug-disease,Is fluconazole a drug?,Is thrush a disease?,Is fluconazole used to treat thrush?
thrush,discharge,disease-symptom,Is thrush a disease?,Is discharge a symptom?,Is discharge a symptom of thrush?
oral estradiol,blood clotting,drug-disease,Is oral estradiol a drug?,Is blood clotting a disease?,Is oral estradiol used to treat blood clotting?
oral estradiol,gallstones,drug-disease,Is oral estradiol a drug?,Is gallstones a disease?,Is oral estradiol used to treat gallstones?
chronic disc disease,back pain,disease-symptom,Is chronic disc disease a disease?,Is back pain a symptom?,Is back pain a symptom of chronic disc disease?
arthritis,back pain,disease-symptom,Is arthritis a disease?,Is back pain a symptom?,Is back pain a symptom of arthritis?
Celebrex,neck pain,drug-disease,Is Celebrex a drug?,Is neck pain a disease?,Is Celebrex used to treat neck pain?
Cymbalta,nerve pain,drug-disease,Is Cymbalta a drug?,Is nerve pain a disease?,Is Cymbalta used to treat nerve pain?
neck pain,headache,disease-symptom,Is neck pain a disease?,Is headache a symptom?,Is headache a symptom of neck pain?
neck tension,neck trauma,symptom-disease,Is neck tension a symptom?,Is neck trauma a disease?,Is neck tension a symptom of neck trauma?
food poisoning,diarrhea,disease-symptom,Is food poisoning a disease?,Is diarrhea a symptom?,Is diarrhea a symptom of food poisoning?
food poisoning,vomit,disease-symptom,Is food poisoning a disease?,Is vomit a symptom?,Is vomit a symptom of food poisoning?
dizzy,food poisoning,symptom-disease,Is dizzy a symptom?,Is food poisoning a disease?,Is dizzy a symptom of food poisoning?
dehydration,creatinine,disease-symptom,Is dehydration a disease?,Is creatinine a symptom?,Is creatinine a symptom of dehydration?
Tachycardia,Tachy/Brady syndrome,symptom-disease,Is Tachycardia a symptom?,Is Tachy/Brady syndrome a disease?,Is Tachycardia a symptom of Tachy/Brady syndrome?
Bradycardia,Tachy/Brady syndrome,symptom-disease,Is Bradycardia a symptom?,Is Tachy/Brady syndrome a disease?,Is Bradycardia a symptom of Tachy/Brady syndrome?
Atrial fibrillation,Palpitations,disease-symptom,Is Atrial fibrillation a disease?,Is Palpitations a symptom?,Is Palpitations a symptom of Atrial fibrillation?
Heart attack,Chest pain,disease-symptom,Is Heart attack a disease?,Is Chest pain a symptom?,Is Chest pain a symptom of Heart attack?
pheochromocytoma,facial flushing,disease-symptom,Is pheochromocytoma a disease?,Is facial flushing a symptom?,Is facial flushing a symptom of pheochromocytoma?
antimalarial medication,Malaria,drug-disease,Is antimalarial medication a drug?,Is Malaria a disease?,Is antimalarial medication used to treat Malaria?
hemorrhoids,bright red blood,disease-symptom,Is hemorrhoids a disease?,Is bright red blood a symptom?,Is bright red blood a symptom of hemorrhoids?
Metoprolol Tartrate,High Blood Pressure,drug-disease,Is Metoprolol Tartrate a drug?,Is High Blood Pressure a disease?,Is Metoprolol Tartrate used to treat High Blood Pressure?
Amlodopine,High Blood Pressure,drug-disease,Is Amlodopine a drug?,Is High Blood Pressure a disease?,Is Amlodopine used to treat High Blood Pressure?
Spironolactone,High Blood Pressure,drug-disease,Is Spironolactone a drug?,Is High Blood Pressure a disease?,Is Spironolactone used to treat High Blood Pressure?
High Blood Pressure,chest pains,disease-symptom,Is High Blood Pressure a disease?,Is chest pains a symptom?,Is chest pains a symptom of High Blood Pressure?
Pericarditis,chest pains,disease-symptom,Is Pericarditis a disease?,Is chest pains a symptom?,Is chest pains a symptom of Pericarditis?
chest pains,Pericarditis,symptom-disease,Is chest pains a symptom?,Is Pericarditis a disease?,Is chest pains a symptom of Pericarditis?
dermatitis,red scaly circle,disease-symptom,Is dermatitis a disease?,Is red scaly circle a symptom?,Is red scaly circle a symptom of dermatitis?
Nail fungus,Terbinafine,drug-disease,Is Nail fungus a drug?,Is Terbinafine a disease?,Is Nail fungus used to treat Terbinafine?
Nail fungus,Itraconazole,drug-disease,Is Nail fungus a drug?,Is Itraconazole a disease?,Is Nail fungus used to treat Itraconazole?
Helicobacter pylori infection,Amoxicillin,drug-disease,Is Helicobacter pylori infection a drug?,Is Amoxicillin a disease?,Is Helicobacter pylori infection used to treat Amoxicillin?
Helicobacter pylori infection,Clarithromycin,drug-disease,Is Helicobacter pylori infection a drug?,Is Clarithromycin a disease?,Is Helicobacter pylori infection used to treat Clarithromycin?
Helicobacter pylori infection,Pantoprazole,drug-disease,Is Helicobacter pylori infection a drug?,Is Pantoprazole a disease?,Is Helicobacter pylori infection used to treat Pantoprazole?
premature ovarian failure,fatigue,disease-symptom,Is premature ovarian failure a disease?,Is fatigue a symptom?,Is fatigue a symptom of premature ovarian failure?
interstitial cystitis,bladder spasms,disease-symptom,Is interstitial cystitis a disease?,Is bladder spasms a symptom?,Is bladder spasms a symptom of interstitial cystitis?
iritis,inflammation,disease-symptom,Is iritis a disease?,Is inflammation a symptom?,Is inflammation a symptom of iritis?
inflammatory arthritis,joint pain,disease-symptom,Is inflammatory arthritis a disease?,Is joint pain a symptom?,Is joint pain a symptom of inflammatory arthritis?
PCOS,acne,disease-symptom,Is PCOS a disease?,Is acne a symptom?,Is acne a symptom of PCOS?
Prednisone,inflammatory arthritis,drug-disease,Is Prednisone a drug?,Is inflammatory arthritis a disease?,Is Prednisone used to treat inflammatory arthritis?
strep,sore throat,disease-symptom,Is strep a disease?,Is sore throat a symptom?,Is sore throat a symptom of strep?
cocaine,sinus issues,drug-disease,Is cocaine a drug?,Is sinus issues a disease?,Is cocaine used to treat sinus issues?
cocaine,chest pain,drug-disease,Is cocaine a drug?,Is chest pain a disease?,Is cocaine used to treat chest pain?
chest pain,cocaine,symptom-disease,Is chest pain a symptom?,Is cocaine a disease?,Is chest pain a symptom of cocaine?
tingling,cocaine,symptom-disease,Is tingling a symptom?,Is cocaine a disease?,Is tingling a symptom of cocaine?
Enantyum,tendonitis,drug-disease,Is Enantyum a drug?,Is tendonitis a disease?,Is Enantyum used to treat tendonitis?
tendonitis,pain,disease-symptom,Is tendonitis a disease?,Is pain a symptom?,Is pain a symptom of tendonitis?
viral pneumonia,fever,disease-symptom,Is viral pneumonia a disease?,Is fever a symptom?,Is fever a symptom of viral pneumonia?
runny nose,viral pneumonia,symptom-disease,Is runny nose a symptom?,Is viral pneumonia a disease?,Is runny nose a symptom of viral pneumonia?
pneumonia,fever,disease-symptom,Is pneumonia a disease?,Is fever a symptom?,Is fever a symptom of pneumonia?
pneumonia,fatigue,disease-symptom,Is pneumonia a disease?,Is fatigue a symptom?,Is fatigue a symptom of pneumonia?
fever,pneumonia,symptom-disease,Is fever a symptom?,Is pneumonia a disease?,Is fever a symptom of pneumonia?
Advair,pneumonia,drug-disease,Is Advair a drug?,Is pneumonia a disease?,Is Advair used to treat pneumonia?
Azithromax,pneumonia,drug-disease,Is Azithromax a drug?,Is pneumonia a disease?,Is Azithromax used to treat pneumonia?
ceftin,pneumonia,drug-disease,Is ceftin a drug?,Is pneumonia a disease?,Is ceftin used to treat pneumonia?
flu,fever,disease-symptom,Is flu a disease?,Is fever a symptom?,Is fever a symptom of flu?
fever,flu,symptom-disease,Is fever a symptom?,Is flu a disease?,Is fever a symptom of flu?
arrhythmia,chest pain,disease-symptom,Is arrhythmia a disease?,Is chest pain a symptom?,Is chest pain a symptom of arrhythmia?
arrhythmia,exhaustion,disease-symptom,Is arrhythmia a disease?,Is exhaustion a symptom?,Is exhaustion a symptom of arrhythmia?
arrhythmia,irregular beats,disease-symptom,Is arrhythmia a disease?,Is irregular beats a symptom?,Is irregular beats a symptom of arrhythmia?
arrhythmia,sore chest,disease-symptom,Is arrhythmia a disease?,Is sore chest a symptom?,Is sore chest a symptom of arrhythmia?
arrhythmia,pain,disease-symptom,Is arrhythmia a disease?,Is pain a symptom?,Is pain a symptom of arrhythmia?
arrhythmia,falling asleep difficulty,disease-symptom,Is arrhythmia a disease?,Is falling asleep difficulty a symptom?,Is falling asleep difficulty a symptom of arrhythmia?
Depressive Disorder,forgetting things,disease-symptom,Is Depressive Disorder a disease?,Is forgetting things a symptom?,Is forgetting things a symptom of Depressive Disorder?
Anxiety Disorder,headaches,disease-symptom,Is Anxiety Disorder a disease?,Is headaches a symptom?,Is headaches a symptom of Anxiety Disorder?
Depression,forgetting things,disease-symptom,Is Depression a disease?,Is forgetting things a symptom?,Is forgetting things a symptom of Depression?
gastroparesis,vomiting,disease-symptom,Is gastroparesis a disease?,Is vomiting a symptom?,Is vomiting a symptom of gastroparesis?
gastroparesis,weight loss,disease-symptom,Is gastroparesis a disease?,Is weight loss a symptom?,Is weight loss a symptom of gastroparesis?
IBS-C,constipation,disease-symptom,Is IBS-C a disease?,Is constipation a symptom?,Is constipation a symptom of IBS-C?
HIV,rash on neck,disease-symptom,Is HIV a disease?,Is rash on neck a symptom?,Is rash on neck a symptom of HIV?
HIV,diarrhea,disease-symptom,Is HIV a disease?,Is diarrhea a symptom?,Is diarrhea a symptom of HIV?
HIV,joint pain,disease-symptom,Is HIV a disease?,Is joint pain a symptom?,Is joint pain a symptom of HIV?
Bactrim,staph infection,drug-disease,Is Bactrim a drug?,Is staph infection a disease?,Is Bactrim used to treat staph infection?
mupirocin,staph infection,drug-disease,Is mupirocin a drug?,Is staph infection a disease?,Is mupirocin used to treat staph infection?
Parkinson’s,Tremors,disease-symptom,Is Parkinson’s a disease?,Is Tremors a symptom?,Is Tremors a symptom of Parkinson’s?
Depression,Anxiety,disease-symptom,Is Depression a disease?,Is Anxiety a symptom?,Is Anxiety a symptom of Depression?
Zoloft,anxiety,drug-disease,Is Zoloft a drug?,Is anxiety a disease?,Is Zoloft used to treat anxiety?
lexapro,anxiety,drug-disease,Is lexapro a drug?,Is anxiety a disease?,Is lexapro used to treat anxiety?
Ativan,anxiety,drug-disease,Is Ativan a drug?,Is anxiety a disease?,Is Ativan used to treat anxiety?
Flomax,prostate issues,drug-disease,Is Flomax a drug?,Is prostate issues a disease?,Is Flomax used to treat prostate issues?
tularemia,symptoms,disease-symptom,Is tularemia a disease?,Is symptoms a symptom?,Is symptoms a symptom of tularemia?
acetaminophen,pain,drug-disease,Is acetaminophen a drug?,Is pain a disease?,Is acetaminophen used to treat pain?
broken ribs,pain,disease-symptom,Is broken ribs a disease?,Is pain a symptom?,Is pain a symptom of broken ribs?
bruised ribs,pain,disease-symptom,Is bruised ribs a disease?,Is pain a symptom?,Is pain a symptom of bruised ribs?
PMS,cramps,disease-symptom,Is PMS a disease?,Is cramps a symptom?,Is cramps a symptom of PMS?
vitamin D deficiency,tetany seizures,disease-symptom,Is vitamin D deficiency a disease?,Is tetany seizures a symptom?,Is tetany seizures a symptom of vitamin D deficiency?
tetany seizures,vitamin D deficiency,symptom-disease,Is tetany seizures a symptom?,Is vitamin D deficiency a disease?,Is tetany seizures a symptom of vitamin D deficiency?
subchorionic hematoma,bleeding,disease-symptom,Is subchorionic hematoma a disease?,Is bleeding a symptom?,Is bleeding a symptom of subchorionic hematoma?
fractured,slight pain,disease-symptom,Is fractured a disease?,Is slight pain a symptom?,Is slight pain a symptom of fractured?
DVT,leg swelling,disease-symptom,Is DVT a disease?,Is leg swelling a symptom?,Is leg swelling a symptom of DVT?
Colorectal cancer,narrow stool,disease-symptom,Is Colorectal cancer a disease?,Is narrow stool a symptom?,Is narrow stool a symptom of Colorectal cancer?
Colorectal cancer,occasional blood/red streaks,disease-symptom,Is Colorectal cancer a disease?,Is occasional blood/red streaks a symptom?,Is occasional blood/red streaks a symptom of Colorectal cancer?
Colorectal cancer,constipation,disease-symptom,Is Colorectal cancer a disease?,Is constipation a symptom?,Is constipation a symptom of Colorectal cancer?
Colorectal cancer,fatigue,disease-symptom,Is Colorectal cancer a disease?,Is fatigue a symptom?,Is fatigue a symptom of Colorectal cancer?
valproic acid,seizures,drug-disease,Is valproic acid a drug?,Is seizures a disease?,Is valproic acid used to treat seizures?
ibuprofen,patella femoral syndrome,drug-disease,Is ibuprofen a drug?,Is patella femoral syndrome a disease?,Is ibuprofen used to treat patella femoral syndrome?
Aleve,patella femoral syndrome,drug-disease,Is Aleve a drug?,Is patella femoral syndrome a disease?,Is Aleve used to treat patella femoral syndrome?
patella femoral syndrome,constant pain,disease-symptom,Is patella femoral syndrome a disease?,Is constant pain a symptom?,Is constant pain a symptom of patella femoral syndrome?
hives,itchy,disease-symptom,Is hives a disease?,Is itchy a symptom?,Is itchy a symptom of hives?
Zyrtec,hives,drug-disease,Is Zyrtec a drug?,Is hives a disease?,Is Zyrtec used to treat hives?
Cortisone cream,hives,drug-disease,Is Cortisone cream a drug?,Is hives a disease?,Is Cortisone cream used to treat hives?
Bendryl,hives,drug-disease,Is Bendryl a drug?,Is hives a disease?,Is Bendryl used to treat hives?
Benedryl cream,hives,drug-disease,Is Benedryl cream a drug?,Is hives a disease?,Is Benedryl cream used to treat hives?
Calamine lotion,hives,drug-disease,Is Calamine lotion a drug?,Is hives a disease?,Is Calamine lotion used to treat hives?
doxycycline,STD,drug-disease,Is doxycycline a drug?,Is STD a disease?,Is doxycycline used to treat STD?
